2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:42 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:43 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
2025-04-13 21:30:44 [INFO] src.ui.menu_manager: Drawing background for menu: main
